NPS_Wells_ID,Alternate_ID,Park,Ownership,State,Status,Status_Num,Type,Lat_dd,Long_dd,Lat_Long_Ref,Access Details,Qualifier_CD,Completion_Date,Qualifier_D,Depth_ft,Qualifer_YT,YieldTest_Rate_gpm,YieldTest_Date,YieldTest_Ref,Well Documents,Photo,State_Database,IRMA_Docket,IRMA_Docket_Link,IRMA_Technical,IRMA_Technical_Link,IRMA_Aquarius,USGS_NWIS,USGS_NGWMN,WQP_SiteID,WQP_Data_Link,eTIC2_Pubs,PHS,State_OG_Database,FMSS Location ID#,Comments
BEOL_W_001,BEOL Well No. 1; Permit #31953; 31953F,BEOL,NPS,CO,Unknown,4,Supply,38.046469,-103.433123,CO DWR Well Application,,Po,1/1/1954,Ap,50,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/9091914,BEOL 001; BEOL 002,https://irma.nps.gov/DataStore/Collection/Profile/9128,"Sumary of Historical Record (Stevenson, 2018)",,,,,,,,,,,Inventory completed in 1995 reports that this well cannot be found. Well is abandoned per Docket 002. 
BEOL_W_002,BEOL Well No. 2; Permit #31954,BEOL,NPS,CO,Unknown,4,Supply,38.04114,-103.429462,CO DWR Well Application,,Po,1/1/1954,Ap,28,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/9091915,BEOL 002,https://irma.nps.gov/DataStore/Collection/Profile/9128,"Sumary of Historical Record (Stevenson, 2018)",,,,,,,,,,,1995 inventory reports that this well cannot be found. Possibly lost/abandoned. 
BEOL_W_003,BEOL Well No. 3; Fire Well #3; Permit #201492; 9082-F; 201493,BEOL,NPS,CO,Active,1,Supply,38.04463,-103.43439,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Ap,4/1/1965,Ap,42,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/0030205A,BEOL 003; BEOL 001; BEOL 002,https://irma.nps.gov/DataStore/Collection/Profile/9128,"Sumary of Historical Record (Stevenson, 2018); Evaluation of shallow groundwater monitoring network (Rice, 2015)",https://irma.nps.gov/DataStore/Collection/Profile/9129,,,,,,,,,,Located in park maintenance building. Has 2 discharge pipes leaving the well. Fire suppression purposes only (2022).
BEOL_W_004,Irrigation Well #4; Day Property Well No. 1; Permit #13596-F,BEOL,NPS,CO,Unknown,4,Supply,38.04246,-103.43536,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Ap,1/30/1954,Ex,34,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/9091534,BEOL 004; BEOL 001,https://irma.nps.gov/DataStore/Collection/Profile/9128,"Sumary of Historical Record (Stevenson, 2018); Evaluation of shallow groundwater monitoring network (Rice, 2015)",https://irma.nps.gov/DataStore/Collection/Profile/9129,,,,,,,,,,Historically used for irrigation. Possibly the same well as BEOL_W_015. 
BEOL_W_005,Livestock Well; Harmon Homestead Well #5; USGS 380213103250200 SC02305423ADA; Permit #156062-A,BEOL,NPS,CO,Active,1,Monitoring,38.03698,-103.41792,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Ex,1/20/1990,Ap,18.64,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/0307655B,BEOL 005; BEOL 001,https://irma.nps.gov/DataStore/Collection/Profile/9128,"Sumary of Historical Record (Stevenson, 2018); Evaluation of shallow groundwater monitoring network (Rice, 2015); WRIIO Report (NRPC, 2010)",https://irma.nps.gov/DataStore/Collection/Profile/9129,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380213103250200,,,,,,,,Historically used for livestock. Depth measured August 2015. Not in use for supply (as of 2022) but is in good condition to use in future. Current (2022) monitoring well. Shown in WRIIO Report Fig 24. 
BEOL_W_006,Irrigation Well #6; Harmon Property Well No. 15929; Permit #15929-R; 89596-VE,BEOL,NPS,CO,Active,1,Monitoring,38.03458,-103.42068,"Evaluation of Shallow Groundwater Monitoring Network (Rice, 2015) ",,Ap,5/31/1931,Ap,25.92,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/9091697,BEOL 006,https://irma.nps.gov/DataStore/Collection/Profile/9128,"Sumary of Historical Record (Stevenson, 2018)",,,,,,,,,,,Not in use for supply but not plugged. Current monitoring well. (2022) Shown in WRIIO Report Fig 24. 
BEOL_W_007,"Permit #156062; ""Replace LR""",BEOL,NPS,CO,Plugged & Abandoned,3,Supply,38.036138,-103.417388,CO DWR Well Application,,Pr,12/31/1960,Ex,30,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/0307655A,BEOL 005,https://irma.nps.gov/DataStore/Collection/Profile/9128,,,,,,,,,,,,Dry in 1989. Replaced by BEOL_W_005. Plugged and abandoned on 12/13/1989; report available. 
BEOL_W_008,Well No. 3; Permit #6486-F,BEOL,Private,CO,Unknown,4,Supply,38.045981,-103.433017,CO DWR Physical GPS Location,,Ex,12/6/1964,Ex,43,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/9091251,,,,,,,,,,,,,,Well is located in a private tract within the park boundary
BEOL_W_009,Well No. 2; Permit #14776-R,BEOL,Private,CO,Unknown,4,Supply,38.046469,-103.433123,CO DWR Well Application,,Ex,4/27/1960,Ex,47,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/9091631,,,,,,,,,,,,,,Well is located in a private tract within the park boundary
BEOL_W_010,Permit #3-WCB,BEOL,Private,CO,Unknown,4,Supply,38.04827,-103.426262,CO DWR Well Application ,,Ex,7/23/1953,Ex,43,,,,,https://doimspp.sharepoint.com/:f:/r/sites/nps-nrss-wrdiv/Groundwater%20Database%20Files/Well%20Documents/BEOL?csf=1&web=1&e=DLQPqt,,https://dwr.state.co.us/Tools/WellPermits/C450003,,,,,,,,,,,,,,
